   Epoch(us)      Compute          MPI        Total
   1770.0000 10230000000000  10000000000 10240000000000
   1780.0000 10230000000000  10000000000 10240000000000
   1790.0000 10230000000000  10000000000 10240000000000
   1800.0000 10224259148004  15740851996 10240000000000
   1810.0000 10220000000000  20000000000 10240000000000
   1820.0000 10217039848676  22960151324 10240000000000
   1830.0000 5218998602414 5021001397586 10240000000000
   1840.0000 1720130829579 8519869170421 10240000000000
   1850.0000 10138661677855 101338322145 10240000000000
   1860.0000 10230000000000  10000000000 10240000000000
   1870.0000 10230000000000  10000000000 10240000000000
   1880.0000 10230000000000  10000000000 10240000000000
   1890.0000 10230000000000  10000000000 10240000000000
   1900.0000 10230000000000  10000000000 10240000000000
   1910.0000 10223023043180  16976956820 10240000000000
   1920.0000 10220000000000  20000000000 10240000000000
   1930.0000 10215567461806  24432538194 10240000000000
   1940.0000 8424838393064 1815161606936 10240000000000
   1950.0000 4151230623695 6088769376305 10240000000000
   1960.0000 10227601366960  12398633040 10240000000000
   1970.0000 10230000000000  10000000000 10240000000000
   1980.0000 10230000000000  10000000000 10240000000000
   1990.0000 10230000000000  10000000000 10240000000000
   2000.0000 10230000000000  10000000000 10240000000000
   2010.0000 10230000000000  10000000000 10240000000000
   2020.0000 10230000000000  10000000000 10240000000000
   2030.0000 10226998554746  13001445254 10240000000000
   2040.0000 10220000000000  20000000000 10240000000000
   2050.0000 10220000000000  20000000000 10240000000000
   2060.0000 7045515126655 3194484873345 10240000000000
   2070.0000 2760757127107 7479242872893 10240000000000
   2080.0000 5326401909036 4913598090964 10240000000000
   2090.0000 10230000000000  10000000000 10240000000000
   2100.0000 10230000000000  10000000000 10240000000000
   2110.0000 10230000000000  10000000000 10240000000000
   2120.0000 10230000000000  10000000000 10240000000000
   2130.0000 10230000000000  10000000000 10240000000000
   2140.0000 10230000000000  10000000000 10240000000000
   2150.0000 10230000000000  10000000000 10240000000000
   2160.0000 10220455721641  19544278359 10240000000000
   2170.0000 10220000000000  20000000000 10240000000000
   2180.0000 10167255401539  72744598461 10240000000000
   2190.0000 8367273489247 1872726510753 10240000000000
   2200.0000 5047101006885 5192898993115 10240000000000
   2210.0000 9092201898356 1147798101644 10240000000000
   2220.0000 10230000000000  10000000000 10240000000000
   2230.0000 10230000000000  10000000000 10240000000000
   2240.0000 10230000000000  10000000000 10240000000000
   2250.0000 10230000000000  10000000000 10240000000000
   2260.0000 10230000000000  10000000000 10240000000000
   2270.0000 10230000000000  10000000000 10240000000000
   2280.0000 10229958742700  10041257300 10240000000000
   2290.0000 10220000000000  20000000000 10240000000000
   2300.0000 10220000000000  20000000000 10240000000000
   2310.0000 7801937662441 2438062337559 10240000000000
   2320.0000 2757956809366 7482043190634 10240000000000
   2330.0000 4296269979917 5943730020083 10240000000000
   2340.0000 10230000000000  10000000000 10240000000000
   2350.0000 10230000000000  10000000000 10240000000000
   2360.0000 10230000000000  10000000000 10240000000000
