T=1.2317e+01 ms:Node 3, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.2333e+01 ms:Node 1, thread 1: finishing compute time=1.7611e+00 ms
T=1.2333e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.2333e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.2333e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.2333e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.2333e+01 ms:Node 1, thread 1: starting compute time=1.7611e+00 ms
T=1.2335e+01 ms:Node 2, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.2335e+01 ms:Node 2, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.2335e+01 ms:Node 2, thread 2: starting compute time=1.6540e+00 ms
T=1.2335e+01 ms:Node 3, thread 3: starting compute time=1.7430e+00 ms
T=1.2337e+01 ms:Node 0, thread 0: starting compute time=1.0348e+00 ms
T=1.3372e+01 ms:Node 0, thread 0: finishing compute time=1.0348e+00 ms
T=1.3989e+01 ms:Node 2, thread 2: finishing compute time=1.6540e+00 ms
T=1.4078e+01 ms:Node 3, thread 3: finishing compute time=1.7430e+00 ms
T=1.4078e+01 ms:Node 3, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.4078e+01 ms:Node 3, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.4094e+01 ms:Node 1, thread 1: finishing compute time=1.7611e+00 ms
T=1.4094e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.4094e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.4094e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.4094e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.4094e+01 ms:Node 1, thread 1: starting compute time=1.7611e+00 ms
T=1.4096e+01 ms:Node 2, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.4096e+01 ms:Node 2, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.4096e+01 ms:Node 2, thread 2: starting compute time=1.6540e+00 ms
T=1.4096e+01 ms:Node 3, thread 3: starting compute time=1.7430e+00 ms
T=1.4098e+01 ms:Node 0, thread 0: starting compute time=1.0348e+00 ms
T=1.5133e+01 ms:Node 0, thread 0: finishing compute time=1.0348e+00 ms
T=1.5750e+01 ms:Node 2, thread 2: finishing compute time=1.6540e+00 ms
T=1.5839e+01 ms:Node 3, thread 3: finishing compute time=1.7430e+00 ms
T=1.5839e+01 ms:Node 3, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.5839e+01 ms:Node 3, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.5855e+01 ms:Node 1, thread 1: finishing compute time=1.7611e+00 ms
T=1.5855e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.5855e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.5855e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.5855e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.5855e+01 ms:Node 1, thread 1: starting compute time=1.7611e+00 ms
T=1.5857e+01 ms:Node 2, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.5857e+01 ms:Node 2, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.5857e+01 ms:Node 2, thread 2: starting compute time=1.6540e+00 ms
T=1.5857e+01 ms:Node 3, thread 3: starting compute time=1.7430e+00 ms
T=1.5859e+01 ms:Node 0, thread 0: starting compute time=1.0348e+00 ms
T=1.6894e+01 ms:Node 0, thread 0: finishing compute time=1.0348e+00 ms
T=1.7511e+01 ms:Node 2, thread 2: finishing compute time=1.6540e+00 ms
T=1.7600e+01 ms:Node 3, thread 3: finishing compute time=1.7430e+00 ms
T=1.7600e+01 ms:Node 3, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.7600e+01 ms:Node 3, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.7616e+01 ms:Node 1, thread 1: finishing compute time=1.7611e+00 ms
T=1.7616e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.7616e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.7616e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.7616e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.7618e+01 ms:Node 2, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.7618e+01 ms:Node 2, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
Estimated total runtime of           0.01762499 seconds
SST/macro ran for       0.0536 seconds
